Description,Price,URL
"upHere G276ARGB Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder/Holster Bracket,Built-in ARGB Strip, Adjustable Length and Height Support",$15.99,https://www.amazon.com/upHere-G276ARGB-Addressable-Aerospace-Adjustable/dp/B08DY63SK4/ref=sr_1_98?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818829&sprefix=rtx+%2Caps%2C194&sr=8-98
"upHere G276ARGB Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder/Holster Bracket,Built-in ARGB Strip, Adjustable Length and Height Support",$15.99,https://www.amazon.com/upHere-G276ARGB-Addressable-Aerospace-Adjustable/dp/B08DY63SK4/ref=sr_1_114?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818831&sprefix=rtx+%2Caps%2C194&sr=8-114
ASUS ROG-STRIX-GTX1080TI-O11G-GAMING GeForce 11GB OC Edition VR Ready 5K HD Gaming HDMI DisplayPort DVI Overclocked PC GDDR5X Graphics Card (Renewed),"$1,279.99",https://www.amazon.com/ASUS-ROG-STRIX-GTX1080TI-O11G-GAMING-DisplayPort-Overclocked-Refurbished/dp/B07JZKT6NJ/ref=sr_1_119?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818833&sprefix=rtx+%2Caps%2C194&sr=8-119
Yeston RX560-4G D5 LP Graphics Cards Radeon Chill 4GB Memory GDDR5 128Bit 6000MHz VGA + HD + DVI-D GPU,$289.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg8_1?ie=UTF8&adId=A0770293VOZBC210X1OT&url=%2FYeston-RX560-4G-Graphics-Radeon-6000MHz%2Fdp%2FB08YDL9HYS%2Fref%3Dsr_1_123_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818833%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-123-spons%26psc%3D1&qualifier=1619818833&id=1530507050904327&widgetName=sp_mtf
MKNIUA GT730 Image Card Graphics Card 2GB 64bit DDR3 Game Video Card for PC Desktop Computer,$52.09,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg8_1?ie=UTF8&adId=A00681852FFNSQLJKAGB9&url=%2FMKNIUA-GT730-Graphics-Desktop-Computer%2Fdp%2FB092R3RYYP%2Fref%3Dsr_1_133_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818833%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-133-spons%26psc%3D1&qualifier=1619818833&id=1530507050904327&widgetName=sp_btf
Lian Li O11DXL-1X NOT Compatible with RTX 3080/3090 and PCIE 4.0 Upright Display Card Kit (Vertical Graphics Card Holder for O11Dynamic XL) (O11DXL-1X),$55.99,https://www.amazon.com/Lian-Li-O11DXL-1-Vertical-O11Dynamic/dp/B07ZB1C5DV/ref=sr_1_131?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818835&sprefix=rtx+%2Caps%2C194&sr=8-131
"2021 Newst ASUS ROG Strix NVIDIA GeForce RTX 3060 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DP 1.4a, Axial-tech Fan Design, 2.7-Slot, Super Alloy Power II, GPU Tweak II)+AF HDMI","$1,349.00",https://www.amazon.com/ASUS-3060-Graphics-Axial-tech-2-7-Slot/dp/B092KQS59N/ref=sr_1_135?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818835&sprefix=rtx+%2Caps%2C194&sr=8-135
"2021 Newst GIGA Byte GeForce RTX 3070 Vision OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 256-Bit GDDR6, Video Card + AllyFlex HDMI Cable","$1,799.00",https://www.amazon.com/GeForce-Graphics-WINDFORCE-256-Bit-AllyFlex/dp/B092TZCZ84/ref=sr_1_142?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818835&sprefix=rtx+%2Caps%2C194&sr=8-142
"2021 Newst ASUS ROG Strix GeForce RTX 3070 White OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6, HDMI 2.1, DP 1.4a, White Color, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power +AllyFlex HDMI","$2,299.00",https://www.amazon.com/ASUS-3070-Graphics-Axial-tech-2-9-Slot/dp/B091DFD14H/ref=sr_1_145?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818835&sprefix=rtx+%2Caps%2C194&sr=8-145
"Newst EV GA GeForce RTX 3070 FTW3 Ultra Graphics Card, 8GB GDDR6, PCI Express 4.0, HDCP Ready, iCX3 Technology, ARGB LED, Metal Backplate, 1 x HDMI 2.1 3 x DisplayPort 1.4a w/ AllyFlex HDMI Cable","$1,769.00",https://www.amazon.com/Graphics-Technology-Backplate-DisplayPort-AllyFlex/dp/B093CJNX6M/ref=sr_1_148?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818835&sprefix=rtx+%2Caps%2C194&sr=8-148
